id,title,status,user_score,watchd_ep,total_ep,airing_status,media_type,mpaa_rating,start_date,end_date
40052,Great Pretender,Completed,7,23,23,Finished Airing,TV,R,09-Jul-2020,17-Dec-2020
16,Hachimitsu to Clover,Completed,7,24,24,Finished Airing,TV,PG-13,15-Apr-2005,27-Sep-2005
1142,Hachimitsu to Clover II,Completed,8,12,12,Finished Airing,TV,PG-13,30-Jun-2006,15-Sep-2006
644,Hachimitsu to Clover Specials,Completed,4,2,2,Finished Airing,Special,PG-13,23-Dec-2005,24-Feb-2006
31859,Hai to Gensou no Grimgar,Completed,6,12,12,Finished Airing,TV,PG-13,11-Jan-2016,28-Mar-2016
32561,Hai to Gensou no Grimgar: Furoagari no Kabe ni Kaketa Seishun - One More Centimeter,Completed,5,1,1,Finished Airing,Special,PG-13,16-Mar-2016,16-Mar-2016
20583,Haikyuu!!,Completed,7,25,25,Finished Airing,TV,PG-13,06-Apr-2014,21-Sep-2014
31675,Haikyuu!! Quest Picture Drama,Completed,1,3,3,Finished Airing,OVA,PG-13,25-Sep-2014,25-Sep-2014
28891,Haikyuu!! Second Season,Completed,7,25,25,Finished Airing,TV,PG-13,04-Oct-2015,27-Mar-2016
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Completed,7,10,10,Finished Airing,TV,PG-13,08-Oct-2016,10-Dec-2016
25303,Haikyuu!!: Lev Genzan!,Completed,4,1,1,Finished Airing,OVA,PG-13,04-Mar-2015,04-Mar-2015
40262,Haikyuu!!: Riku vs. Kuu,Completed,5,2,2,Finished Airing,OVA,PG-13,22-Jan-2020,22-Jan-2020
38883,Haikyuu!!: To the Top,Completed,6,13,13,Finished Airing,TV,PG-13,11-Jan-2020,04-Apr-2020
40776,Haikyuu!!: To the Top 2nd Season,Completed,7,12,12,Finished Airing,TV,PG-13,03-Oct-2020,19-Dec-2020
35806,Haikyuu!!: vs. "Akaten",Completed,4,1,1,Finished Airing,OVA,PG-13,02-May-2016,02-May-2016
27969,Hana to Alice: Satsujin Jiken,Completed,8,1,1,Finished Airing,Movie,PG-13,20-Feb-2015,20-Feb-2015
21855,Hanamonogatari,Completed,6,5,5,Finished Airing,TV,R,16-Aug-2014,16-Aug-2014
1030,Heisei Tanuki Gassen Ponpoko,Completed,3,1,1,Finished Airing,Movie,PG,13-Jun-1994,13-Jun-1994
42897,Horimiya,Completed,7,13,13,Finished Airing,TV,PG-13,10-Jan-2021,04-Apr-2021
9760,Hoshi wo Ou Kodomo,Completed,5,1,1,Finished Airing,Movie,PG-13,07-May-2011,07-May-2011
578,Hotaru no Haka,Completed,9,1,1,Finished Airing,Movie,PG-13,16-Apr-1988,16-Apr-1988
10408,Hotarubi no Mori e,Completed,6,1,1,Finished Airing,Movie,G,17-Sep-2011,17-Sep-2011
431,Howl no Ugoku Shiro,Completed,4,1,1,Finished Airing,Movie,G,20-Nov-2004,20-Nov-2004
11061,Hunter x Hunter (2011),Completed,6,148,148,Finished Airing,TV,PG-13,02-Oct-2011,24-Sep-2014
12189,Hyouka,Completed,6,22,22,Finished Airing,TV,PG-13,23-Apr-2012,17-Sep-2012
13469,Hyouka: Motsubeki Mono wa,Completed,4,1,1,Finished Airing,OVA,PG-13,08-Jul-2012,08-Jul-2012
40046,Id:Invaded,Completed,8,13,13,Finished Airing,TV,R,06-Jan-2020,23-Mar-2020
468,Innocence,Completed,4,1,1,Finished Airing,Movie,R,06-Mar-2004,06-Mar-2004
40010,Ishuzoku Reviewers,Completed,3,12,12,Finished Airing,TV,R+,11-Jan-2020,28-Mar-2020
40530,Jaku-Chara Tomozaki-kun,Completed,7,12,12,Finished Airing,TV,PG-13,08-Jan-2021,26-Mar-2021
14719,JoJo no Kimyou na Bouken (TV),Completed,6,26,26,Finished Airing,TV,R,06-Oct-2012,06-Apr-2013
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Completed,3,24,24,Finished Airing,TV,R,05-Apr-2014,13-Sep-2014
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,Completed,3,24,24,Finished Airing,TV,R,10-Jan-2015,20-Jun-2015
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Completed,4,39,39,Finished Airing,TV,R,02-Apr-2016,24-Dec-2016
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Completed,8,39,39,Finished Airing,TV,R,06-Oct-2018,28-Jul-2019
38777,Jujutsu Kaisen,Completed,2,3,3,Finished Airing,ONA,G,03-Dec-2018,08-Dec-2018
40748,Jujutsu Kaisen (TV),Completed,7,24,24,Finished Airing,TV,R,03-Oct-2020,27-Mar-2021
35639,Just Because!,Completed,8,12,12,Finished Airing,TV,PG-13,05-Oct-2017,28-Dec-2017
16664,Kaguya-hime no Monogatari,Completed,7,1,1,Finished Airing,Movie,G,23-Nov-2013,23-Nov-2013
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Completed,6,12,12,Finished Airing,TV,PG-13,12-Jan-2019,30-Mar-2019
43609,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,Completed,5,1,1,Finished Airing,OVA,PG-13,19-May-2021,19-May-2021
40591,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,Completed,6,12,12,Finished Airing,TV,PG-13,11-Apr-2020,27-Jun-2020
40750,Kaifuku Jutsushi no Yarinaoshi,Completed,1,12,12,Finished Airing,TV,R+,13-Jan-2021,31-Mar-2021
34933,Kakegurui,Completed,5,12,12,Finished Airing,TV,R,01-Jul-2017,23-Sep-2017
